<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2105,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:004.420,     0.06792,     0.00000,    20.73233
   00:004.440,     0.06760,     0.00000,    20.72659
   00:004.460,     0.06740,     0.00000,    20.72085
   00:004.480,     0.06756,     0.00000,    20.72085
   00:004.500,     0.06684,     0.11110,    20.70937
   00:004.520,     0.06658,     0.12528,    20.72085
   00:004.540,     0.06640,     0.14286,    20.73233
   00:004.560,     0.06469,     0.14944,    20.73233
   00:004.580,     0.06458,     0.13817,    20.72085
   00:004.600,     0.06473,     0.12061,    20.73233
   00:004.620,     0.06462,     0.10897,    20.73233
   00:004.640,     0.06406,     0.10121,    20.73233
   00:004.660,     0.06339,     0.08857,    20.73233
   00:004.680,     0.06274,     0.00000,    20.72085
   00:004.700,     0.06380,     0.00000,    20.73233
   00:004.720,     0.06338,     0.00000,    20.75529
   00:004.740,     0.06247,     0.00000,    20.72085
   00:004.760,     0.06439,     0.00000,    20.73233
   00:004.780,     0.06362,     0.07745,    20.73233
   00:004.800,     0.06088,     0.09394,    20.73233
   00:004.820,     0.06118,     0.10333,    20.73807
   00:004.840,     0.06226,     0.10098,    20.74381
   00:004.860,     0.06318,     0.09732,    20.73807
   00:004.880,     0.06292,     0.10028,    20.75529
   00:004.900,     0.06129,     0.09997,    20.73233
   00:004.920,     0.06192,     0.09283,    20.73233
   00:004.940,     0.06255,     0.08976,    20.73807
   00:004.960,     0.06270,     0.10394,    20.74381
   00:004.980,     0.06122,     0.13133,    20.73807
   00:005.000,     0.06093,     0.15576,    20.73233
   00:005.020,     0.06214,     0.17390,    20.75529
   00:005.040,     0.06237,     0.18500,    20.74381
   00:005.060,     0.06170,     0.18231,    20.73233
   00:005.080,     0.06044,     0.17148,    20.73233
   00:005.100,     0.06133,     0.16005,    20.73233
   00:005.120,     0.06210,     0.15413,    20.73807
   00:005.140,     0.06218,     0.14799,    20.74381
   00:005.160,     0.06511,     0.15031,    20.73807
   00:005.180,     0.07022,     0.17400,    20.73807
   00:005.200,     0.07523,     0.20372,    20.73233
   00:005.220,     0.08250,     0.21282,    20.72085
   00:005.240,     0.08971,     0.19356,    20.72659
   00:005.260,     0.09733,     0.16262,    20.72085
   00:005.280,     0.10440,     0.13801,    20.70937
   00:005.300,     0.11047,     0.12305,    20.70937
   00:005.320,     0.11698,     0.11994,    20.69214
   00:005.340,     0.12355,     0.11810,    20.68640
   00:005.360,     0.13140,     0.12160,    20.68640
   00:005.380,     0.14084,     0.12411,    20.68066
   00:005.400,     0.15233,     0.11220,    20.67492
   00:005.420,     0.16474,     0.09931,    20.66344
   00:005.440,     0.17618,     0.10028,    20.65196
   00:005.460,     0.18627,     0.11064,    20.61752
   00:005.480,     0.19837,     0.11756,    20.61752
   00:005.500,     0.21372,     0.12175,    20.61752
   00:005.520,     0.23535,     0.12570,    20.59455
   00:005.540,     0.26407,     0.12833,    20.56011
   00:005.560,     0.30077,     0.13087,    20.54863
   00:005.580,     0.34123,     0.13422,    20.52566
   00:005.600,     0.38000,     0.13655,    20.48548
   00:005.620,     0.41968,     0.14238,    20.41659
   00:005.640,     0.46723,     0.15059,    20.38789
   00:005.660,     0.52408,     0.15461,    20.34196
   00:005.680,     0.58001,     0.15463,    20.28455
   00:005.700,     0.62536,     0.15092,    20.20992
   00:005.720,     0.66907,     0.14533,    20.14103
   00:005.740,     0.73482,     0.13832,    20.08937
   00:005.760,     0.83351,     0.12881,    20.03196
   00:005.780,     0.95864,     0.12741,    19.92863
   00:005.800,     1.09876,     0.13864,    19.79085
   00:005.820,     1.22681,     0.15716,    19.63011
   00:005.840,     1.32819,     0.17143,    19.43492
   00:005.860,     1.41572,     0.17676,    19.29141
   00:005.880,     1.50384,     0.18486,    19.17659
   00:005.900,     1.58797,     0.19001,    19.07900
   00:005.920,     1.66319,     0.18776,    18.97567
   00:005.940,     1.74916,     0.18124,    18.88381
   00:005.960,     1.86953,     0.17509,    18.78622
   00:005.980,     2.01269,     0.17154,    18.66567
   00:006.000,     2.14198,     0.16477,    18.49344
   00:006.020,     2.24501,     0.17233,    18.32122
   00:006.040,     2.33535,     0.20370,    18.16048
   00:006.060,     2.42315,     0.23088,    18.06863
   00:006.080,     2.51941,     0.23728,    17.97678
   00:006.100,     2.63617,     0.22560,    17.87345
   00:006.120,     2.77231,     0.20908,    17.74141
   00:006.140,     2.91955,     0.20068,    17.57493
   00:006.160,     3.06931,     0.20106,    17.42567
   00:006.180,     3.19746,     0.20357,    17.24771
   00:006.200,     3.29511,     0.20403,    17.08122
   00:006.220,     3.40341,     0.20248,    16.96641
   00:006.240,     3.54041,     0.19353,    16.86308
   00:006.260,     3.67175,     0.18078,    16.71382
   00:006.280,     3.77340,     0.17546,    16.55308
   00:006.300,     3.86318,     0.17797,    16.43826
   00:006.320,     3.95417,     0.18054,    16.33493
   00:006.340,     4.03381,     0.18309,    16.24308
   00:006.360,     4.10296,     0.18326,    16.16271
   00:006.380,     4.17004,     0.18016,    16.08234
   00:006.400,     4.23518,     0.17607,    16.00197
   00:006.420,     4.30045,     0.17137,    15.93308
   00:006.440,     4.36490,     0.16850,    15.85271
   00:006.460,     4.42380,     0.17010,    15.79530
   00:006.480,     4.47300,     0.17066,    15.72641
   00:006.500,     4.51231,     0.16609,    15.65752
   00:006.520,     4.55787,     0.16433,    15.62308
   00:006.540,     4.60292,     0.16489,    15.57715
   00:006.560,     4.63320,     0.15997,    15.53123
   00:006.580,     4.65538,     0.15553,    15.48530
   00:006.600,     4.68159,     0.15409,    15.47382
   00:006.620,     4.71086,     0.15018,    15.43937
   00:006.640,     4.73576,     0.14583,    15.42789
   00:006.660,     4.75710,     0.14840,    15.39919
   00:006.680,     4.77867,     0.15510,    15.36475
   00:006.700,     4.80412,     0.15785,    15.35900
   00:006.720,     4.83165,     0.15378,    15.34752
   00:006.740,     4.85930,     0.14386,    15.30160
   00:006.760,     4.88267,     0.13492,    15.27863
   00:006.780,     4.89355,     0.12752,    15.25567
   00:006.800,     4.90136,     0.11755,    15.26715
   00:006.820,     4.91366,     0.10697,    15.26141
   00:006.840,     4.92913,     0.09630,    15.25567
   00:006.860,     4.94584,     0.08974,    15.24993
   00:006.880,     4.96879,     0.10235,    15.24419
   00:006.900,     4.98780,     0.12892,    15.23271
   00:006.920,     4.99692,     0.14790,    15.19826
   00:006.940,     5.00742,     0.15064,    15.19826
   00:006.960,     5.01960,     0.13914,    15.19826
   00:006.980,     5.03103,     0.12506,    15.18104
   00:007.000,     5.04914,     0.11788,    15.15234
   00:007.020,     5.07247,     0.10854,    15.12938
   00:007.040,     5.09407,     0.10359,    15.10641
   00:007.060,     5.10796,     0.11121,    15.07197
   00:007.080,     5.11971,     0.11539,    15.07197
   00:007.100,     5.13123,     0.10721,    15.03752
   00:007.120,     5.13573,     0.09141,    15.01456
   00:007.140,     5.13603,     0.07999,    15.01456
   00:007.160,     5.13794,     0.07627,    15.01456
   00:007.180,     5.14208,     0.07639,    14.98012
   00:007.200,     5.14411,     0.00000,    14.98586
   00:007.220,     5.14802,     0.00000,    14.96863
   00:007.240,     5.15650,     0.00000,    14.97438
   00:007.260,     5.16182,     0.00000,    14.96863
   00:007.280,     5.16770,     0.00000,    14.93419
   00:007.300,     5.17333,     0.00000,    14.92271
   00:007.320,     5.17237,     0.00000,    14.92271
   00:007.340,     5.17355,     0.00000,    14.92271
   00:007.360,     5.17386,     0.00000,    14.91123
   00:007.380,     5.17159,     0.00000,    14.92271
   00:007.400,     5.17374,     0.00000,    14.92271
   00:007.420,     5.18080,     0.00000,    14.89975
   00:007.440,     5.18947,     0.00000,    14.89975
   00:007.460,     5.19270,     0.00000,    14.89975
   00:007.480,     5.19275,     0.00000,    14.87678
   00:007.500,     5.19450,     0.00000,    14.87678
   00:007.520,     5.19874,     0.00000,    14.87678
   00:007.540,     5.20302,     0.00000,    14.87678
   00:007.560,     5.20844,     0.00000,    14.84234
   00:007.580,     5.21502,     0.00000,    14.84808
   00:007.600,     5.22368,     0.00000,    14.84234
   00:007.620,     5.22929,     0.00000,    14.81363
