<WFATester Graph 1.00 4,0.000,60.000,0,-10.000,10.000,-10.000,10.000,0,0.000,100.000,0.000,100.000>
<WFATester Table 1.00  2075,4,0,12,5,t,1,12,5,f,2,12,5,f,5,12,5,f>
        Temps,        CO2%,        Flow,         O2%
   00:003.380,     0.14427,     0.00000,    21.64254
   00:003.400,     0.14247,     0.00000,    21.65499
   00:003.420,     0.14189,     0.00000,    21.64254
   00:003.440,     0.14301,     0.00000,    21.64254
   00:003.460,     0.14315,     0.00000,    21.64254
   00:003.480,     0.14333,     0.00000,    21.64254
   00:003.500,     0.14437,     0.00000,    21.64254
   00:003.520,     0.14402,     0.00000,    21.64254
   00:003.540,     0.14314,     0.00000,    21.64254
   00:003.560,     0.14416,     0.00000,    21.64876
   00:003.580,     0.14422,     0.00000,    21.65499
   00:003.600,     0.14374,     0.00000,    21.65499
   00:003.620,     0.14272,     0.00000,    21.64254
   00:003.640,     0.14209,     0.00000,    21.63010
   00:003.660,     0.14260,     0.00000,    21.65499
   00:003.680,     0.14362,     0.00000,    21.64254
   00:003.700,     0.14439,     0.00000,    21.64254
   00:003.720,     0.14377,     0.00000,    21.64254
   00:003.740,     0.14409,     0.00000,    21.65499
   00:003.760,     0.14461,     0.00000,    21.65499
   00:003.780,     0.14367,     0.00000,    21.64254
   00:003.800,     0.14235,     0.00000,    21.65499
   00:003.820,     0.14205,     0.00000,    21.64254
   00:003.840,     0.14374,     0.00000,    21.64254
   00:003.860,     0.14345,     0.00000,    21.65499
   00:003.880,     0.14251,     0.00000,    21.66121
   00:003.900,     0.14321,     0.00000,    21.63632
   00:003.920,     0.14328,     0.00000,    21.65499
   00:003.940,     0.14319,     0.00000,    21.63632
   00:003.960,     0.14268,     0.00000,    21.64254
   00:003.980,     0.14244,     0.00000,    21.64254
   00:004.000,     0.14313,     0.00000,    21.64876
   00:004.020,     0.14208,     0.00000,    21.64254
   00:004.040,     0.14279,     0.00000,    21.64254
   00:004.060,     0.14296,     0.00000,    21.64876
   00:004.080,     0.14225,     0.00000,    21.63632
   00:004.100,     0.14238,     0.00000,    21.64876
   00:004.120,     0.14276,     0.00000,    21.65499
   00:004.140,     0.14165,     0.00000,    21.64254
   00:004.160,     0.14114,     0.00000,    21.63632
   00:004.180,     0.14160,     0.00000,    21.65499
   00:004.200,     0.14207,     0.00000,    21.64254
   00:004.220,     0.14143,     0.00000,    21.65499
   00:004.240,     0.14200,     0.00000,    21.63632
   00:004.260,     0.14327,     0.00000,    21.64254
   00:004.280,     0.14280,     0.00000,    21.65499
   00:004.300,     0.14351,     0.00000,    21.65499
   00:004.320,     0.14441,     0.00000,    21.64876
   00:004.340,     0.14332,     0.00000,    21.65499
   00:004.360,     0.14259,     0.00000,    21.64254
   00:004.380,     0.14319,     0.00000,    21.65499
   00:004.400,     0.14259,     0.00000,    21.65499
   00:004.420,     0.14245,     0.00000,    21.64876
   00:004.440,     0.14402,     0.00000,    21.65499
   00:004.460,     0.14431,     0.00000,    21.63632
   00:004.480,     0.14362,     0.00000,    21.65499
   00:004.500,     0.14369,     0.00000,    21.65499
   00:004.520,     0.14327,     0.00000,    21.64254
   00:004.540,     0.14214,     0.00000,    21.65499
   00:004.560,     0.14254,     0.00000,    21.66121
   00:004.580,     0.14190,     0.00000,    21.64876
   00:004.600,     0.14268,     0.00000,    21.63010
   00:004.620,     0.14445,     0.00000,    21.64254
   00:004.640,     0.14285,     0.00000,    21.65499
   00:004.660,     0.14261,     0.00000,    21.66743
   00:004.680,     0.14378,     0.00000,    21.65499
   00:004.700,     0.14314,     0.00000,    21.67988
   00:004.720,     0.14205,     0.00000,    21.65499
   00:004.740,     0.14161,     0.00000,    21.63010
   00:004.760,     0.14247,     0.00000,    21.65499
   00:004.780,     0.14310,     0.00000,    21.64876
   00:004.800,     0.14252,     0.00000,    21.64254
   00:004.820,     0.14241,     0.00000,    21.65499
   00:004.840,     0.14175,     0.00000,    21.64254
   00:004.860,     0.14211,     0.00000,    21.65499
   00:004.880,     0.14274,     0.00000,    21.64254
   00:004.900,     0.14132,     0.00000,    21.67988
   00:004.920,     0.14110,     0.00000,    21.65499
   00:004.940,     0.14307,     0.00000,    21.64254
   00:004.960,     0.14375,     0.00000,    21.64254
   00:004.980,     0.14347,     0.00000,    21.63632
   00:005.000,     0.14335,     0.00000,    21.65499
   00:005.020,     0.14337,     0.00000,    21.66121
   00:005.040,     0.14359,     0.00000,    21.64254
   00:005.060,     0.14419,     0.00000,    21.63632
   00:005.080,     0.14377,     0.00000,    21.64254
   00:005.100,     0.14363,     0.00000,    21.65499
   00:005.120,     0.14373,     0.00000,    21.64254
   00:005.140,     0.14255,     0.00000,    21.64254
   00:005.160,     0.14227,     0.00000,    21.64254
   00:005.180,     0.14224,     0.00000,    21.64254
   00:005.200,     0.14172,     0.00000,    21.65499
